Report_Date,Year,Week_Number,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Normalized_NonComm_Positions,Long_Position_Ratio,Short_Position_Ratio,Bullish_Bearish_Score,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Delta_Score
2024-02-06,2024,6,619955.0,87199.0,57188.0,0.23289916203595423,0.14065375712753345,0.09224540490842077,-1,16882.0,-7985.0,5419.0,1
2024-01-30,2024,5,603073.0,95184.0,51769.0,0.24367365144849795,0.15783163895581465,0.0858420124926833,-1,5266.0,-1613.0,-7762.0,-1
2024-01-23,2024,4,597807.0,96797.0,59531.0,0.2615024581512093,0.16192015148701838,0.09958230666419095,-1,-25580.0,17882.0,-9341.0,-1
2024-01-16,2024,3,623387.0,78915.0,68872.0,0.23707103292176449,0.12659070529221816,0.11048032762954633,-1,39318.0,-691.0,2295.0,1
2024-01-09,2024,2,584069.0,79606.0,66577.0,0.25028378496376286,0.13629554042416223,0.11398824453960063,-1,11682.0,6451.0,642.0,-1
2024-01-02,2024,1,572387.0,73155.0,65935.0,0.24299992837014117,0.12780688590062317,0.115193042469518,-1,15188.0,-5629.0,-3674.0,1
2023-12-26,2023,52,557199.0,78784.0,69609.0,0.2663195734378561,0.14139293143024306,0.12492664200761308,-1,-1335.0,2840.0,1350.0,-1
2023-12-19,2023,51,558534.0,75944.0,68259.0,0.2581812387428518,0.1359702363687797,0.12221100237407212,-1,-41759.0,-7051.0,-4137.0,1
2023-12-12,2023,50,600293.0,82995.0,72396.0,0.258858590721531,0.13825748426185214,0.12060110645967885,-1,6187.0,10026.0,450.0,-1
2023-12-05,2023,49,594106.0,72969.0,71946.0,0.24392111845360928,0.12282151669904023,0.12109960175456905,-1,6453.0,9957.0,-419.0,-1
2023-11-28,2023,48,587653.0,63012.0,72365.0,0.2303689422158995,0.10722654355546556,0.12314239866043396,1,25583.0,916.0,154.0,-1
2023-11-21,2023,47,562070.0,62096.0,72211.0,0.23895066450797944,0.1104773426797374,0.12847332182824203,1,-50299.0,-3192.0,-14008.0,-1
2023-11-14,2023,46,612369.0,65288.0,86219.0,0.24741128306625582,0.10661545571379348,0.14079582735246232,1,15870.0,1535.0,921.0,-1
2023-11-07,2023,45,596499.0,63753.0,85298.0,0.2498763619050493,0.10687863684599638,0.1429977250590529,1,7388.0,1036.0,1309.0,1
2023-10-31,2023,44,589111.0,62717.0,83989.0,0.24902946982826665,0.10646041238408381,0.14256905744418286,1,10641.0,-10116.0,9124.0,1
2023-10-24,2023,43,578470.0,72833.0,74865.0,0.2553252545507978,0.12590626998807197,0.1294189845627258,1,-23517.0,1779.0,-1483.0,-1
2023-10-17,2023,42,601987.0,71054.0,76348.0,0.24485910825316826,0.11803244920571375,0.12682665904745452,1,-5681.0,-17712.0,24759.0,1
2023-10-10,2023,41,607668.0,88766.0,51589.0,0.230973162977152,0.14607647597043122,0.08489668700672078,-1,7988.0,-7387.0,650.0,1
2023-10-03,2023,40,599680.0,96153.0,50939.0,0.245284151547492,0.16034051494130203,0.08494363660618996,-1,-6540.0,5975.0,-1115.0,-1
2023-09-26,2023,39,606220.0,90178.0,52054.0,0.23462109465210648,0.14875457754610538,0.08586651710600113,-1,-17462.0,4843.0,-3034.0,-1
2023-09-19,2023,38,623682.0,85335.0,55088.0,0.2251515996934335,0.13682453558063243,0.08832706411280107,-1,-13949.0,11204.0,9233.0,-1
2023-09-12,2023,37,637631.0,74131.0,45855.0,0.18817466528446702,0.11626003127200528,0.07191463401246176,-1,23517.0,-2431.0,-1126.0,1
2023-09-05,2023,36,614114.0,76562.0,46981.0,0.2011727464281876,0.12467066375298397,0.07650208267520363,-1,38014.0,-6788.0,-16531.0,-1
2023-08-29,2023,35,576100.0,83350.0,63512.0,0.25492449227564656,0.14467974310015622,0.11024474917549036,-1,12646.0,4789.0,5621.0,1
2023-08-22,2023,34,563454.0,78561.0,57891.0,0.24217061197542303,0.13942753090758075,0.10274308106784227,-1,6655.0,-847.0,2728.0,1
2023-08-15,2023,33,556799.0,79408.0,55163.0,0.2416868564778313,0.14261519866235392,0.0990716578154774,-1,28900.0,-11742.0,-8659.0,1
2023-08-08,2023,32,527899.0,91150.0,63822.0,0.2935637309409565,0.17266560459481833,0.12089812634613818,-1,6885.0,-3991.0,3767.0,1
2023-08-01,2023,31,521014.0,95141.0,60055.0,0.29787299381590515,0.18260737715301317,0.11526561666289198,-1,13359.0,2700.0,10125.0,1
2023-07-25,2023,30,507655.0,92441.0,49930.0,0.28044833597620433,0.18209413873595257,0.09835419724025174,-1,-20248.0,-21084.0,-14617.0,1
2023-07-18,2023,29,527903.0,113525.0,64547.0,0.3373195454467961,0.21504897680066223,0.12227056864613385,-1,-3204.0,13114.0,-1158.0,-1
2023-07-11,2023,28,531107.0,100411.0,65705.0,0.31277313234432985,0.18905983163468001,0.12371330070964985,-1,11595.0,-369.0,-2850.0,-1
2023-07-03,2023,27,519512.0,100780.0,68555.0,0.3259501224225812,0.19398974422150017,0.131960378201081,-1,6657.0,8843.0,-2278.0,-1
2023-06-27,2023,26,512855.0,91937.0,70833.0,0.3173801561844966,0.1792650944224001,0.1381150617620965,-1,17792.0,-4547.0,1089.0,1
2023-06-20,2023,25,495063.0,96484.0,69744.0,0.3357714068714487,0.1948923672340692,0.1408790396373795,-1,-30471.0,5475.0,-5128.0,-1
2023-06-13,2023,24,525534.0,91009.0,74872.0,0.31564275574939016,0.17317433315446765,0.1424684225949225,-1,-3463.0,6991.0,2941.0,-1
2023-06-06,2023,23,528997.0,84018.0,71931.0,0.2948012937691518,0.15882509730679,0.13597619646236178,-1,32622.0,-811.0,12082.0,1
2023-05-30,2023,22,496375.0,84829.0,59849.0,0.2914691513472677,0.17089700327373458,0.12057214807353311,-1,9325.0,-9640.0,11951.0,1
2023-05-23,2023,21,487050.0,94469.0,47898.0,0.2923046915101119,0.19396160558464223,0.09834308592546967,-1,-444.0,1383.0,-14837.0,-1
2023-05-16,2023,20,487494.0,93086.0,62735.0,0.31963675450364515,0.19094799115476294,0.12868876334888224,-1,22912.0,9105.0,-7677.0,-1
2023-05-09,2023,19,464582.0,83981.0,70412.0,0.3323266936730222,0.18076679681950655,0.15155989685351565,-1,726.0,10635.0,11851.0,1
2023-05-02,2023,18,463856.0,73346.0,58561.0,0.28437058052499053,0.1581223483149943,0.1262482322099962,-1,3193.0,2372.0,219.0,-1
2023-04-25,2023,17,460663.0,70974.0,58342.0,0.2807171402956174,0.15406924367704808,0.12664789661856932,-1,3464.0,-2708.0,5378.0,1
2023-04-18,2023,16,457199.0,73682.0,52964.0,0.27700410543330145,0.1611595825887633,0.11584452284453815,-1,-7000.0,-8929.0,6249.0,1
2023-04-11,2023,15,464199.0,82611.0,46715.0,0.2786003416638123,0.1779646229311136,0.10063571873269869,-1,-570.0,-3597.0,649.0,1
2023-04-04,2023,14,464769.0,86208.0,46066.0,0.28460159778298466,0.18548569289259825,0.09911590489038641,-1,17422.0,-1903.0,5459.0,1
2023-03-28,2023,13,447347.0,88111.0,40607.0,0.287736365729512,0.19696343107252312,0.09077293465698887,-1,9893.0,11077.0,-5265.0,-1
2023-03-21,2023,12,437454.0,77034.0,45872.0,0.28095754067856277,0.17609622954642087,0.1048613111321419,-1,1948.0,-7327.0,389.0,1
2023-03-14,2023,11,435506.0,84361.0,45483.0,0.298145146105909,0.1937080086152659,0.10443713749064307,-1,3523.0,-15283.0,9191.0,1
2023-03-07,2023,10,431983.0,99644.0,36292.0,0.31467904987001805,0.23066648456073502,0.084012565309283,-1,-2255.0,6891.0,1113.0,-1
2023-02-28,2023,9,434238.0,92753.0,35179.0,0.29461263178257086,0.2135994546769283,0.08101317710564253,-1,3556.0,1679.0,-4205.0,-1
2023-02-21,2023,8,430682.0,91074.0,39384.0,0.30291026790067843,0.2114646072972634,0.09144566060341505,-1,-25095.0,-6516.0,-9472.0,-1
2023-02-14,2023,7,455777.0,97590.0,48856.0,0.32131064094941164,0.21411786904560784,0.10719277190380383,-1,23839.0,13293.0,-4726.0,-1
2023-02-07,2023,6,431938.0,84297.0,53582.0,0.3192101644217457,0.19515995351184662,0.12405021090989911,-1,24472.0,-2356.0,195.0,1
2023-01-31,2023,5,407466.0,86653.0,53387.0,0.34368511728585943,0.2126631424462409,0.13102197483961853,-1,20012.0,3192.0,1684.0,-1
2023-01-24,2023,4,387454.0,83461.0,51703.0,0.34885173465753355,0.21540879691524673,0.13344293774228683,-1,1405.0,-9767.0,-404.0,1
2023-01-17,2023,3,386049.0,93228.0,52107.0,0.3764677540933923,0.24149266025815375,0.13497509383523854,-1,10141.0,-4364.0,418.0,1
2023-01-10,2023,2,375908.0,97592.0,51689.0,0.39712110409993934,0.25961671472807174,0.1375043893718676,-1,12630.0,3076.0,622.0,-1
2023-01-03,2023,1,363278.0,94516.0,51067.0,0.4007481873386222,0.26017540285951807,0.14057278447910415,-1,-3544.0,-10393.0,3176.0,1
2022-12-27,2022,52,366822.0,104909.0,47891.0,0.4165508066582702,0.28599429696146905,0.13055650969680116,-1,1063.0,-4792.0,-769.0,1
2022-12-20,2022,51,365759.0,109701.0,48660.0,0.432965422587004,0.29992700111275455,0.13303842147424944,-1,-18327.0,8870.0,1614.0,-1
2022-12-13,2022,50,384086.0,100831.0,47046.0,0.38501012794009676,0.2625219351915977,0.12248819274849904,-1,-4813.0,576.0,365.0,-1
2022-12-06,2022,49,388899.0,100255.0,46681.0,0.37782560510569585,0.25779186883998156,0.12003373626571423,-1,25213.0,12276.0,3543.0,-1
2022-11-29,2022,48,363686.0,87979.0,43138.0,0.36052253867347106,0.24190922939018825,0.11861330928328283,-1,-6766.0,-3393.0,-8580.0,-1
2022-11-22,2022,47,370452.0,91372.0,51718.0,0.38625786876572404,0.24665003833155172,0.1396078304341723,-1,-28296.0,8164.0,-2103.0,-1
2022-11-15,2022,46,398748.0,83208.0,53821.0,0.3436481186112532,0.20867314694995334,0.13497497166129988,-1,-49.0,-5923.0,6012.0,1
2022-11-08,2022,45,398797.0,89131.0,47809.0,0.3433827235410497,0.2234996752733847,0.11988304826766501,-1,-14757.0,8948.0,-4019.0,-1
2022-11-01,2022,44,413554.0,80183.0,51828.0,0.3192110341092094,0.19388761806197014,0.1253234160472393,-1,-3933.0,10043.0,-5678.0,-1
2022-10-25,2022,43,417487.0,70140.0,57506.0,0.30574844246647204,0.16800523130061534,0.13774321116585667,-1,-14912.0,5349.0,-3218.0,-1
2022-10-18,2022,42,432399.0,64791.0,60724.0,0.2902758794539303,0.14984077206469026,0.14043510738924003,-1,12422.0,-3179.0,9556.0,1
2022-10-11,2022,41,419977.0,67970.0,51168.0,0.2836774394788286,0.16184219612026374,0.12183524335856487,-1,-310.0,1872.0,-3209.0,-1
2022-10-04,2022,40,420287.0,66098.0,54377.0,0.28664936103186633,0.1572687235151218,0.1293806375167445,-1,-2403.0,-8571.0,-881.0,1
2022-09-27,2022,39,422690.0,74669.0,55258.0,0.3073812959852374,0.17665191984669615,0.13072937613854124,-1,-1583.0,8961.0,670.0,-1
2022-09-20,2022,38,424273.0,65708.0,54588.0,0.28353442241198473,0.15487198101222563,0.12866244139975913,-1,-15684.0,-4388.0,-1581.0,1
2022-09-13,2022,37,439957.0,70096.0,56169.0,0.2869939562275404,0.1593246612737154,0.12766929495382504,-1,17548.0,-3814.0,-1129.0,1
2022-09-06,2022,36,422409.0,73910.0,57298.0,0.31061838171061695,0.17497259764825088,0.1356457840623661,-1,1139.0,1531.0,-5233.0,-1
2022-08-30,2022,35,421270.0,72379.0,62531.0,0.32024592304222943,0.17181142735063024,0.14843449569159922,-1,-1942.0,4320.0,471.0,-1
2022-08-23,2022,34,423212.0,68059.0,62060.0,0.3074558377361701,0.16081538330671152,0.14664045442945853,-1,-16444.0,-4491.0,-1650.0,1
2022-08-16,2022,33,439656.0,72550.0,63710.0,0.3099241224957694,0.1650153756573321,0.14490874683843732,-1,-1409.0,-4460.0,7336.0,1
2022-08-09,2022,32,441065.0,77010.0,56374.0,0.30241347647172184,0.17460011562921565,0.12781336084250622,-1,-8130.0,12978.0,-8387.0,-1
2022-08-02,2022,31,449195.0,64032.0,64761.0,0.2867195761306337,0.14254833646857157,0.14417123966206213,1,-3178.0,3015.0,1408.0,-1
2022-07-26,2022,30,452373.0,61017.0,63353.0,0.27492799083941794,0.1348820552950773,0.1400459355443406,1,-7675.0,-8443.0,1177.0,1
2022-07-19,2022,29,460048.0,69460.0,62176.0,0.2861353597885438,0.15098424512224812,0.1351511146662957,-1,8361.0,1330.0,-8048.0,-1
2022-07-12,2022,28,451687.0,68130.0,70224.0,0.3063050298104661,0.15083453807614566,0.15547049173432045,1,-6174.0,3910.0,-12114.0,-1
2022-07-05,2022,27,457861.0,64220.0,82338.0,0.32009277924959756,0.14026090887845874,0.17983187037113885,1,13070.0,267.0,9234.0,1
2022-06-28,2022,26,444791.0,63953.0,73104.0,0.3081379794105546,0.1437821358795479,0.16435584353100668,1,-3463.0,71.0,1335.0,1
2022-06-21,2022,25,448254.0,63882.0,71769.0,0.30262083550843943,0.1425129502469582,0.1601078852614812,1,-25160.0,-3989.0,14793.0,1
2022-06-14,2022,24,473414.0,67871.0,56976.0,0.2637163244010528,0.14336500399227736,0.1203513204087754,-1,-5671.0,-6263.0,-79.0,1
2022-06-07,2022,23,479085.0,74134.0,57055.0,0.2738324096976528,0.15474080799858062,0.1190916016990722,-1,-4072.0,-1290.0,-3314.0,-1
2022-05-31,2022,22,483157.0,75424.0,60369.0,0.2810535705785076,0.15610660716909824,0.12494696340940936,-1,16556.0,-1103.0,-7702.0,-1
2022-05-24,2022,21,466601.0,76527.0,68071.0,0.30989646400243465,0.16400950705206374,0.14588695695037088,-1,-25118.0,-2885.0,11284.0,1
2022-05-17,2022,20,491719.0,79412.0,56787.0,0.27698543273699006,0.16149874216778282,0.11548669056920721,-1,-10774.0,-1513.0,-17530.0,-1
2022-05-10,2022,19,502493.0,80925.0,74317.0,0.3089436071746273,0.1610470195604715,0.1478965876141558,-1,2237.0,3090.0,-2018.0,-1
2022-05-03,2022,18,500256.0,77835.0,76335.0,0.30818221070811747,0.1555903377470735,0.15259187296104396,-1,2907.0,-4461.0,847.0,1
2022-04-26,2022,17,497349.0,82296.0,75488.0,0.31725005981715054,0.1654693183257632,0.15178074149138734,-1,-1741.0,-6034.0,4777.0,1
2022-04-19,2022,16,499090.0,88330.0,70711.0,0.31866196477589215,0.17698210743553267,0.14167985734035946,-1,-2422.0,-1037.0,9397.0,1
2022-04-12,2022,15,501512.0,89367.0,61314.0,0.3004534288312144,0.1781951379029814,0.12225829092823302,-1,-1050.0,3982.0,2213.0,-1
2022-04-05,2022,14,502562.0,85385.0,59101.0,0.28749885586256024,0.16989943529355583,0.11759942056900442,-1,-6278.0,5103.0,-3666.0,-1
2022-03-29,2022,13,508840.0,80282.0,62767.0,0.2811276629195818,0.1577745460262558,0.123353116893326,-1,-1393.0,848.0,-2117.0,-1
2022-03-22,2022,12,510233.0,79434.0,64884.0,0.282847248217971,0.15568181595467168,0.12716543226329932,-1,-25385.0,-5376.0,-3300.0,1
2022-03-15,2022,11,535618.0,84810.0,68184.0,0.285640139054326,0.1583404590585081,0.12729967999581793,-1,10042.0,10215.0,-17301.0,-1
2022-03-08,2022,10,525576.0,74595.0,85485.0,0.3045801178135988,0.141929996803507,0.1626501210100918,1,389.0,492.0,10427.0,1
2022-03-01,2022,9,525187.0,74103.0,75058.0,0.284015027028468,0.14109831355307728,0.14291671347539067,1,19525.0,7127.0,4968.0,-1
2022-02-22,2022,8,505662.0,66976.0,70090.0,0.27106248838156716,0.13245211228053522,0.1386103761010319,1,-22030.0,-3343.0,-3348.0,-1
2022-02-15,2022,7,527692.0,70319.0,73438.0,0.27242596059822777,0.13325765787618535,0.1391683027220424,1,17995.0,-2990.0,2439.0,1
2022-02-08,2022,6,509697.0,73309.0,70999.0,0.28312507234690415,0.14382858835739665,0.1392964839895075,-1,26142.0,6364.0,2792.0,-1
2022-02-01,2022,5,483555.0,66945.0,68207.0,0.27949664464228474,0.13844340354251325,0.1410532410997715,1,4803.0,-781.0,-1412.0,-1
2022-01-25,2022,4,478752.0,67726.0,69619.0,0.28688130806764256,0.14146363879419824,0.1454176692734443,1,-4326.0,-5858.0,4303.0,1
2022-01-18,2022,3,483078.0,73584.0,65316.0,0.2875312061406233,0.15232322730490727,0.13520797883571598,-1,19754.0,-3589.0,7454.0,1
2022-01-11,2022,2,463324.0,77173.0,57862.0,0.291448316944514,0.1665637868964267,0.1248845300480873,-1,28677.0,-3370.0,11554.0,1
2022-01-04,2022,1,434647.0,80543.0,46308.0,0.29184832749334516,0.18530669715884385,0.10654163033450133,-1,7796.0,-229.0,2563.0,1
2021-12-28,2021,52,426851.0,80772.0,43745.0,0.29171069061569493,0.18922762275360724,0.1024830678620877,-1,6399.0,3015.0,-2284.0,-1
2021-12-21,2021,51,420452.0,77757.0,46029.0,0.2944117283304634,0.18493668718426837,0.10947504114619505,-1,-16804.0,-2957.0,-2998.0,-1
2021-12-14,2021,50,437256.0,80714.0,49027.0,0.29671634008452713,0.1845920925041623,0.11212424758036482,-1,-600.0,378.0,-3274.0,-1
2021-12-07,2021,49,437856.0,80336.0,52301.0,0.3029237922970109,0.1834758459402178,0.1194479463567931,-1,-3766.0,-6640.0,-7010.0,-1
2021-11-30,2021,48,441622.0,86976.0,59311.0,0.33124934899076586,0.19694671008237813,0.13430263890838773,-1,-4195.0,-1894.0,3058.0,1
2021-11-23,2021,47,445817.0,88870.0,56253.0,0.32552145835623136,0.19934188243158066,0.1261795759246507,-1,-46021.0,2564.0,1213.0,-1
2021-11-16,2021,46,491838.0,86306.0,55040.0,0.28738324407630156,0.17547647802731794,0.11190676604898361,-1,-5290.0,6144.0,2429.0,-1
2021-11-09,2021,45,497128.0,80162.0,52611.0,0.26708010814116284,0.16125022127098051,0.10582988687018233,-1,-7449.0,-726.0,-12798.0,-1
2021-11-02,2021,44,504577.0,80888.0,65409.0,0.2899398902447,0.1603085356645269,0.1296313545801731,-1,1483.0,-1194.0,9197.0,1
2021-10-26,2021,43,503094.0,82082.0,56212.0,0.27488699924864934,0.16315440056927732,0.11173259867937205,-1,-21077.0,-1221.0,-3923.0,-1
2021-10-19,2021,42,524171.0,83303.0,60135.0,0.2736473402763602,0.15892332845579019,0.11472401182057,-1,-15797.0,7970.0,-2613.0,-1
2021-10-12,2021,41,539968.0,75333.0,62748.0,0.2557207093753704,0.13951382304136542,0.11620688633400497,-1,-17003.0,393.0,-14211.0,-1
2021-10-05,2021,40,556971.0,74940.0,76959.0,0.27272335543502263,0.13454919555955336,0.13817415987546927,1,2681.0,-10456.0,14626.0,1
2021-09-28,2021,39,554290.0,85396.0,62333.0,0.26651933103610026,0.1540637572389904,0.11245557379710981,-1,34322.0,5121.0,8015.0,1
2021-09-21,2021,38,519968.0,80275.0,54318.0,0.2588486214536279,0.15438450058465136,0.10446412086897655,-1,-1734.0,4424.0,-541.0,-1
2021-09-14,2021,37,521702.0,75851.0,54859.0,0.2505453304760189,0.14539143035679372,0.10515390011922515,-1,-11842.0,4362.0,-6801.0,-1
2021-09-07,2021,36,533544.0,71489.0,61660.0,0.24955580045881876,0.13398894936500083,0.11556685109381794,-1,-2102.0,-2907.0,-7283.0,-1
2021-08-31,2021,35,535646.0,74396.0,68943.0,0.2676002434443644,0.1388902372089029,0.12871000623546147,-1,-18352.0,152.0,-2500.0,-1
2021-08-24,2021,34,553998.0,74244.0,71443.0,0.26297387355189006,0.13401492424160377,0.1289589493102863,-1,-48654.0,9157.0,-13455.0,-1
2021-08-17,2021,33,602652.0,65087.0,84898.0,0.2488749726210151,0.10800096905013175,0.14087400357088337,1,1830.0,-638.0,10216.0,1
2021-08-10,2021,32,600822.0,65725.0,74682.0,0.23369150929892712,0.10939179990080257,0.12429970939812457,1,13426.0,-295.0,9837.0,1
2021-08-03,2021,31,587396.0,66020.0,64845.0,0.22278837445266908,0.1123943642789532,0.11039401017371586,-1,8764.0,-572.0,-5234.0,-1
2021-07-27,2021,30,578632.0,66592.0,70079.0,0.23619675372257323,0.115085235521022,0.12111151820155125,1,-8424.0,-8319.0,-3195.0,1
2021-07-20,2021,29,587056.0,74911.0,73274.0,0.2524205527241013,0.12760452154479301,0.12481603117930827,-1,2057.0,-2593.0,9702.0,1
2021-07-13,2021,28,584999.0,77504.0,63572.0,0.24115596778797913,0.13248569655674625,0.10867027123123288,-1,-7569.0,435.0,1198.0,1
2021-07-06,2021,27,592568.0,77069.0,62374.0,0.23531982827287332,0.13005933496240094,0.10526049331047238,-1,18748.0,-79.0,12873.0,1
2021-06-29,2021,26,573820.0,77148.0,49501.0,0.22071206998710396,0.13444634205848524,0.08626572792861872,-1,19197.0,441.0,5220.0,1
2021-06-22,2021,25,554623.0,76707.0,44281.0,0.21814457748777097,0.1383047583673955,0.07983981912037547,-1,1802.0,-10054.0,7062.0,1
2021-06-15,2021,24,552821.0,86761.0,37219.0,0.22426789141512352,0.15694230139593104,0.06732559001919247,-1,17219.0,-4736.0,-4281.0,1
2021-06-08,2021,23,535602.0,91497.0,41500.0,0.24831311309517143,0.17083020601117993,0.07748290708399147,-1,6793.0,-2186.0,-7110.0,-1
2021-06-01,2021,22,528809.0,93683.0,48610.0,0.2690820315085409,0.1771584825523015,0.0919235489562394,-1,15002.0,3531.0,-1923.0,-1
2021-05-25,2021,21,513807.0,90152.0,50533.0,0.2738090372455027,0.175458878528319,0.0983501587171837,-1,-18863.0,-2259.0,-3584.0,-1
2021-05-18,2021,20,532670.0,92411.0,54117.0,0.2750821334034205,0.17348639870839355,0.10159573469502695,-1,-13673.0,-4064.0,-1090.0,1
2021-05-11,2021,19,546343.0,96475.0,55207.0,0.27763145130440037,0.17658320871686833,0.101048242587532,-1,12838.0,1654.0,11613.0,1
2021-05-04,2021,18,533505.0,94821.0,43594.0,0.25944461626414,0.17773216745859927,0.08171244880554071,-1,6570.0,-604.0,-517.0,1
