ID,Market_and_Exchange_Names,Report_Date_as_YYYY_MM_DD,YYYY Report Week WW,CONTRACT_MARKET_NAME,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Commodity Name,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,COMMODITY_NAME,COMMODITY_SUBGROUP_NAME,COMMODITY_GROUP_NAME,FutOnly_or_Combined
181224067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",12/24/2018 12:00:00 AM,2018 Report Week 52,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,546715,133530,50660,118717,281063,366728,533310,536105,13405,10610,546715,133530,50660,118717,281063,366728,533310,536105,13405,10610,0,0,0,0,0,0,0,0,0,0,-16769,13045,-2324,-11667,-15484,-1402,-14106,-15393,-2663,-1376,100,24.4,9.3,21.7,51.4,67.1,97.5,98.1,2.5,1.9,100,24.4,9.3,21.7,51.4,67.1,97.5,98.1,2.5,1.9,0,0,0,0,0,0,0,0,0,0,139,37,31,51,62,62,123,122,139,37,31,51,62,62,123,122,0,0,0,0,0,0,0,0,32,32.8,47.1,46.3,29.3,30.3,37.4,38.7,32,32.8,47.1,46.3,29.3,30.3,37.4,38.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181218067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",12/18/2018 12:00:00 AM,2018 Report Week 51,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,563484,120485,52984,130384,296547,368130,547416,551498,16068,11986,563484,120485,52984,130384,296547,368130,547416,551498,16068,11986,0,0,0,0,0,0,0,0,0,0,-31020,4072,-3621,-5982,-31437,-20933,-33347,-30536,2327,-484,100,21.4,9.4,23.1,52.6,65.3,97.1,97.9,2.9,2.1,100,21.4,9.4,23.1,52.6,65.3,97.1,97.9,2.9,2.1,0,0,0,0,0,0,0,0,0,0,141,38,30,52,65,66,126,126,141,38,30,52,65,66,126,126,0,0,0,0,0,0,0,0,30.7,30.9,45.8,43.7,26.8,28.8,34.3,37.3,30.7,30.9,45.8,43.7,26.8,28.8,34.3,37.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181211067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",12/11/2018 12:00:00 AM,2018 Report Week 50,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,594504,116413,56605,136366,327984,389063,580763,582034,13741,12470,594504,116413,56605,136366,327984,389063,580763,582034,13741,12470,0,0,0,0,0,0,0,0,0,0,4340,3561,5586,3016,-841,-4115,5736,4487,-1396,-147,100,19.6,9.5,22.9,55.2,65.4,97.7,97.9,2.3,2.1,100,19.6,9.5,22.9,55.2,65.4,97.7,97.9,2.3,2.1,0,0,0,0,0,0,0,0,0,0,138,36,29,52,64,64,127,120,138,36,29,52,64,64,127,120,0,0,0,0,0,0,0,0,30.5,31.9,46,43.6,25.1,27.7,33.2,34.7,30.5,31.9,46,43.6,25.1,27.7,33.2,34.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181204067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",12/04/2018 12:00:00 AM,2018 Report Week 49,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,590164,112852,51019,133350,328825,393178,575027,577547,15137,12617,590164,112852,51019,133350,328825,393178,575027,577547,15137,12617,0,0,0,0,0,0,0,0,0,0,-49,-2538,3723,-2588,5241,-1644,115,-509,-164,460,100,19.1,8.6,22.6,55.7,66.6,97.4,97.9,2.6,2.1,100,19.1,8.6,22.6,55.7,66.6,97.4,97.9,2.6,2.1,0,0,0,0,0,0,0,0,0,0,136,40,25,51,62,64,124,120,136,40,25,51,62,64,124,120,0,0,0,0,0,0,0,0,31.9,32.9,47.4,44.8,25.5,27.7,33,34.8,31.9,32.9,47.4,44.8,25.5,27.7,33,34.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181127067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",11/27/2018 12:00:00 AM,2018 Report Week 48,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,590213,115390,47296,135938,323584,394822,574912,578056,15301,12157,590213,115390,47296,135938,323584,394822,574912,578056,15301,12157,0,0,0,0,0,0,0,0,0,0,5765,5895,-8130,3567,-2703,10167,6759,5604,-994,161,100,19.6,8,23,54.8,66.9,97.4,97.9,2.6,2.1,100,19.6,8,23,54.8,66.9,97.4,97.9,2.6,2.1,0,0,0,0,0,0,0,0,0,0,136,40,26,51,62,63,126,117,136,40,26,51,62,63,126,117,0,0,0,0,0,0,0,0,32.3,33.8,48.4,45.6,26.3,28.5,33.4,36.3,32.3,33.8,48.4,45.6,26.3,28.5,33.4,36.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181120067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",11/20/2018 12:00:00 AM,2018 Report Week 47,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,584448,109495,55426,132371,326287,384655,568153,572452,16295,11996,584448,109495,55426,132371,326287,384655,568153,572452,16295,11996,0,0,0,0,0,0,0,0,0,0,-32206,2248,-327,-14601,-20221,-16655,-32574,-31583,368,-623,100,18.7,9.5,22.6,55.8,65.8,97.2,97.9,2.8,2.1,100,18.7,9.5,22.6,55.8,65.8,97.2,97.9,2.8,2.1,0,0,0,0,0,0,0,0,0,0,138,39,30,51,61,63,124,121,138,39,30,51,61,63,124,121,0,0,0,0,0,0,0,0,32.3,33.4,47.7,45.7,26.4,28.9,33.5,36.2,32.3,33.4,47.7,45.7,26.4,28.9,33.5,36.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181113067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",11/13/2018 12:00:00 AM,2018 Report Week 46,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,616654,107247,55753,146972,346508,401310,600727,604035,15927,12619,616654,107247,55753,146972,346508,401310,600727,604035,15927,12619,0,0,0,0,0,0,0,0,0,0,-9105,2486,6042,-17465,4717,1965,-10262,-9458,1157,353,100,17.4,9,23.8,56.2,65.1,97.4,98,2.6,2,100,17.4,9,23.8,56.2,65.1,97.4,98,2.6,2,0,0,0,0,0,0,0,0,0,0,150,41,35,56,66,66,137,130,150,41,35,56,66,66,137,130,0,0,0,0,0,0,0,0,32,30,46.5,42.8,26.3,26.6,33.3,34.5,32,30,46.5,42.8,26.3,26.6,33.3,34.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181106067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",11/06/2018 12:00:00 AM,2018 Report Week 45,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,625759,104761,49711,164437,341791,399345,610989,613493,14770,12266,625759,104761,49711,164437,341791,399345,610989,613493,14770,12266,0,0,0,0,0,0,0,0,0,0,12732,-4655,11928,14266,2781,-14284,12392,11910,340,822,100,16.7,7.9,26.3,54.6,63.8,97.6,98,2.4,2,100,16.7,7.9,26.3,54.6,63.8,97.6,98,2.4,2,0,0,0,0,0,0,0,0,0,0,155,39,36,58,66,70,139,136,155,39,36,58,66,70,139,136,0,0,0,0,0,0,0,0,31.3,28.9,45.8,41.1,26.7,27.1,34.2,34.4,31.3,28.9,45.8,41.1,26.7,27.1,34.2,34.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181030067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",10/30/2018 12:00:00 AM,2018 Report Week 44,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,613027,109416,37783,150171,339010,413629,598597,601583,14430,11444,613027,109416,37783,150171,339010,413629,598597,601583,14430,11444,0,0,0,0,0,0,0,0,0,0,6585,11238,-5078,1391,-4202,11035,8427,7348,-1842,-763,100,17.8,6.2,24.5,55.3,67.5,97.6,98.1,2.4,1.9,100,17.8,6.2,24.5,55.3,67.5,97.6,98.1,2.4,1.9,0,0,0,0,0,0,0,0,0,0,151,41,35,54,68,70,138,131,151,41,35,54,68,70,138,131,0,0,0,0,0,0,0,0,31.6,30.1,46.2,43.5,27.4,27.7,34.8,36.6,31.6,30.1,46.2,43.5,27.4,27.7,34.8,36.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181023067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",10/23/2018 12:00:00 AM,2018 Report Week 43,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,606442,98178,42861,148780,343212,402594,590170,594235,16272,12207,606442,98178,42861,148780,343212,402594,590170,594235,16272,12207,0,0,0,0,0,0,0,0,0,0,-36439,7314,2261,-15147,-30695,-24027,-38528,-36913,2089,474,100,16.2,7.1,24.5,56.6,66.4,97.3,98,2.7,2,100,16.2,7.1,24.5,56.6,66.4,97.3,98,2.7,2,0,0,0,0,0,0,0,0,0,0,152,38,36,50,71,68,135,130,152,38,36,50,71,68,135,130,0,0,0,0,0,0,0,0,30.8,29.7,45.1,43.1,27.6,28,34.6,36.6,30.8,29.7,45.1,43.1,27.6,28,34.6,36.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181016067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",10/16/2018 12:00:00 AM,2018 Report Week 42,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,642881,90864,40600,163927,373907,426621,628698,631148,14183,11733,642881,90864,40600,163927,373907,426621,628698,631148,14183,11733,0,0,0,0,0,0,0,0,0,0,-5421,-178,-5249,4732,-9837,-3207,-5283,-3724,-138,-1697,100,14.1,6.3,25.5,58.2,66.4,97.8,98.2,2.2,1.8,100,14.1,6.3,25.5,58.2,66.4,97.8,98.2,2.2,1.8,0,0,0,0,0,0,0,0,0,0,147,38,36,54,66,67,133,129,147,38,36,54,66,67,133,129,0,0,0,0,0,0,0,0,28.9,28.5,43.9,41.6,27.1,26.8,33.7,35.2,28.9,28.5,43.9,41.6,27.1,26.8,33.7,35.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181009067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",10/09/2018 12:00:00 AM,2018 Report Week 41,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,648302,91042,45849,159195,383744,429828,633981,634872,14321,13430,648302,91042,45849,159195,383744,429828,633981,634872,14321,13430,0,0,0,0,0,0,0,0,0,0,13764,-2722,-60,5459,11075,10345,13812,15744,-48,-1980,100,14,7.1,24.6,59.2,66.3,97.8,97.9,2.2,2.1,100,14,7.1,24.6,59.2,66.3,97.8,97.9,2.2,2.1,0,0,0,0,0,0,0,0,0,0,146,36,38,56,65,65,132,129,146,36,38,56,65,65,132,129,0,0,0,0,0,0,0,0,28.5,28,43.3,41.3,27.5,26.1,33.8,33.9,28.5,28,43.3,41.3,27.5,26.1,33.8,33.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
181002067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",10/02/2018 12:00:00 AM,2018 Report Week 40,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,634538,93764,45909,153736,372669,419483,620169,619128,14369,15410,634538,93764,45909,153736,372669,419483,620169,619128,14369,15410,0,0,0,0,0,0,0,0,0,0,23824,10149,8778,-4266,18900,17363,24783,21875,-959,1949,100,14.8,7.2,24.2,58.7,66.1,97.7,97.6,2.3,2.4,100,14.8,7.2,24.2,58.7,66.1,97.7,97.6,2.3,2.4,0,0,0,0,0,0,0,0,0,0,147,40,36,57,65,63,133,129,147,40,36,57,65,63,133,129,0,0,0,0,0,0,0,0,28.8,27.7,42.8,41,28.4,26.2,34.5,34.3,28.8,27.7,42.8,41,28.4,26.2,34.5,34.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180925067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/25/2018 12:00:00 AM,2018 Report Week 39,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,610714,83615,37131,158002,353769,402120,595386,597253,15328,13461,610714,83615,37131,158002,353769,402120,595386,597253,15328,13461,0,0,0,0,0,0,0,0,0,0,-12420,-14015,-4199,9304,-9696,-19171,-14407,-14066,1987,1646,100,13.7,6.1,25.9,57.9,65.8,97.5,97.8,2.5,2.2,100,13.7,6.1,25.9,57.9,65.8,97.5,97.8,2.5,2.2,0,0,0,0,0,0,0,0,0,0,146,39,35,56,64,62,131,127,146,39,35,56,64,62,131,127,0,0,0,0,0,0,0,0,29.9,28.8,44.3,43.4,29.2,28.1,34.8,36.3,29.9,28.8,44.3,43.4,29.2,28.1,34.8,36.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180918067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/18/2018 12:00:00 AM,2018 Report Week 38,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,623134,97630,41330,148698,363465,421291,609793,611319,13341,11815,623134,97630,41330,148698,363465,421291,609793,611319,13341,11815,0,0,0,0,0,0,0,0,0,0,-1221,1422,-656,-8327,7344,7121,439,-1862,-1660,641,100,15.7,6.6,23.9,58.3,67.6,97.9,98.1,2.1,1.9,100,15.7,6.6,23.9,58.3,67.6,97.9,98.1,2.1,1.9,0,0,0,0,0,0,0,0,0,0,155,39,40,56,68,67,139,133,155,39,40,56,68,67,139,133,0,0,0,0,0,0,0,0,30,29.5,43.9,42.8,29.1,28.4,35.1,36.3,30,29.5,43.9,42.8,29.1,28.4,35.1,36.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180911067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/11/2018 12:00:00 AM,2018 Report Week 37,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,624355,96208,41986,157025,356121,414170,609354,613181,15001,11174,624355,96208,41986,157025,356121,414170,609354,613181,15001,11174,0,0,0,0,0,0,0,0,0,0,-1963,2333,5818,-7053,3842,565,-878,-670,-1085,-1293,100,15.4,6.7,25.1,57,66.3,97.6,98.2,2.4,1.8,100,15.4,6.7,25.1,57,66.3,97.6,98.2,2.4,1.8,0,0,0,0,0,0,0,0,0,0,154,33,42,58,68,68,138,136,154,33,42,58,68,68,138,136,0,0,0,0,0,0,0,0,31.1,28.8,45,41.8,29.2,27.8,35.4,35.7,31.1,28.8,45,41.8,29.2,27.8,35.4,35.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180904067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",09/04/2018 12:00:00 AM,2018 Report Week 36,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,626318,93875,36168,164078,352279,413605,610232,613851,16086,12467,626318,93875,36168,164078,352279,413605,610232,613851,16086,12467,0,0,0,0,0,0,0,0,0,0,8617,-1685,-1740,5577,3977,4024,7869,7861,748,756,100,15,5.8,26.2,56.2,66,97.4,98,2.6,2,100,15,5.8,26.2,56.2,66,97.4,98,2.6,2,0,0,0,0,0,0,0,0,0,0,151,36,39,58,67,64,136,132,151,36,39,58,67,64,136,132,0,0,0,0,0,0,0,0,32.5,29.6,45.8,43.4,30.6,28.3,36,36.8,32.5,29.6,45.8,43.4,30.6,28.3,36,36.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180828067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/28/2018 12:00:00 AM,2018 Report Week 35,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,617701,95560,37908,158501,348302,409581,602363,605990,15338,11711,617701,95560,37908,158501,348302,409581,602363,605990,15338,11711,0,0,0,0,0,0,0,0,0,0,7897,340,-5364,6115,793,5159,7248,5910,649,1987,100,15.5,6.1,25.7,56.4,66.3,97.5,98.1,2.5,1.9,100,15.5,6.1,25.7,56.4,66.3,97.5,98.1,2.5,1.9,0,0,0,0,0,0,0,0,0,0,151,35,40,57,69,64,136,132,151,35,40,57,69,64,136,132,0,0,0,0,0,0,0,0,32.9,29.6,46.4,43,31,28.4,36.9,36.7,32.9,29.6,46.4,43,31,28.4,36.9,36.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180821067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/21/2018 12:00:00 AM,2018 Report Week 34,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,609804,95220,43272,152386,347509,404422,595115,600080,14689,9724,609804,95220,43272,152386,347509,404422,595115,600080,14689,9724,0,0,0,0,0,0,0,0,0,0,-34607,2004,-1742,-15139,-19799,-14963,-32934,-31844,-1673,-2763,100,15.6,7.1,25,57,66.3,97.6,98.4,2.4,1.6,100,15.6,7.1,25,57,66.3,97.6,98.4,2.4,1.6,0,0,0,0,0,0,0,0,0,0,156,36,41,58,71,66,141,135,156,36,41,58,71,66,141,135,0,0,0,0,0,0,0,0,33.7,30.9,47,44.8,32.2,29.9,38.1,38.1,33.7,30.9,47,44.8,32.2,29.9,38.1,38.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180814067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/14/2018 12:00:00 AM,2018 Report Week 33,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,644411,93216,45014,167525,367308,419385,628049,631924,16362,12487,644411,93216,45014,167525,367308,419385,628049,631924,16362,12487,0,0,0,0,0,0,0,0,0,0,6097,2590,2292,5235,149,-67,7974,7460,-1877,-1363,100,14.5,7,26,57,65.1,97.5,98.1,2.5,1.9,100,14.5,7,26,57,65.1,97.5,98.1,2.5,1.9,0,0,0,0,0,0,0,0,0,0,156,39,38,61,74,71,144,141,156,39,38,61,74,71,144,141,0,0,0,0,0,0,0,0,31.9,30.1,45,44.1,30.1,28.6,35.3,37.1,31.9,30.1,45,44.1,30.1,28.6,35.3,37.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180807067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",08/07/2018 12:00:00 AM,2018 Report Week 32,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,638314,90626,42722,162290,367159,419452,620075,624464,18239,13850,638314,90626,42722,162290,367159,419452,620075,624464,18239,13850,0,0,0,0,0,0,0,0,0,0,6176,4017,-4701,-1053,2225,11947,5189,6193,987,-17,100,14.2,6.7,25.4,57.5,65.7,97.1,97.8,2.9,2.2,100,14.2,6.7,25.4,57.5,65.7,97.1,97.8,2.9,2.2,0,0,0,0,0,0,0,0,0,0,154,37,38,61,71,69,140,139,154,37,38,61,71,69,140,139,0,0,0,0,0,0,0,0,32.2,31.9,45,45.6,29.7,30,35.5,38,32.2,31.9,45,45.6,29.7,30,35.5,38,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
180731067411F,"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",07/31/2018 12:00:00 AM,2018 Report Week 31,"CRUDE OIL, LIGHT SWEET-WTI",067411,ICEU,NYC,067,CRUDE OIL,632138,86609,47423,163343,364934,407505,614886,618271,17252,13867,632138,86609,47423,163343,364934,407505,614886,618271,17252,13867,0,0,0,0,0,0,0,0,0,0,17705,-8056,-917,7591,20346,10975,19881,17649,-2176,56,100,13.7,7.5,25.8,57.7,64.5,97.3,97.8,2.7,2.2,100,13.7,7.5,25.8,57.7,64.5,97.3,97.8,2.7,2.2,0,0,0,0,0,0,0,0,0,0,156,34,42,62,73,71,142,143,156,34,42,62,73,71,142,143,0,0,0,0,0,0,0,0,32.6,31.4,45.9,45.8,29.7,29.4,35.5,37.5,32.6,31.4,45.9,45.8,29.7,29.4,35.5,37.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",CRUDE OIL,PETROLEUM AND PRODUCTS,NATURAL RESOURCES,FutOnly
